COUNTRY_ID,COUNTRY_NAME,ISO_ALPHA_CODE,CONTINENT_ID,REGION_ID,LAT,LNG
100,Algeria,DZA,10,1000,28.033886,1.659626
101,Egypt,EGY,10,1000,26.820553,30.802498
102,Libya,LBY,10,1000,26.3351,17.228331
103,Morocco,MAR,10,1000,31.791702,-7.09262
104,Sudan,SDN,10,1000,12.862807,30.217636
105,Tunisia,TUN,10,1000,33.886917,9.537499
106,Western Sahara,ESH,10,1000,24.215527,-12.885834
107,British Indian Ocean Territory,IOT,10,1001,-6.343194,71.876519
108,Burundi,BDI,10,1001,-3.373056,29.918886
109,Comoros,COM,10,1001,-11.875001,43.872219
110,Djibouti,DJI,10,1001,11.825138,42.590275
111,Eritrea,ERI,10,1001,15.179384,39.782334
112,Ethiopia,ETH,10,1001,9.145,40.489673
113,French Southern Territories,ATF,10,1001,-49.280366,69.348557
114,Kenya,KEN,10,1001,-0.023559,37.906193
115,Madagascar,MDG,10,1001,-18.766947,46.869107
116,Malawi,MWI,10,1001,13.254308,34.301525
117,Mauritius,MUS,10,1001,-20.348404,57.552152
118,Mayotte,MYT,10,1001,-12.8275,45.166244
119,Mozambique,MOZ,10,1001,-18.665695,35.529562
120,Réunion,REU,10,1001,-21.115141,55.536384
121,Rwanda,RWA,10,1001,-1.940278,29.873888
122,Seychelles,SYC,10,1001,-4.679574,55.491977
123,Somalia,SOM,10,1001,5.152149,46.199616
124,South Sudan,SSD,10,1001,6.8770,31.3070
125,Uganda,UGA,10,1001,1.373333,32.290275
126,United Republic of Tanzania,TZA,10,1001,-6.369028,34.888822
127,Zambia,ZMB,10,1001,-13.133897,27.849332
128,Zimbabwe,ZWE,10,1001,-19.015438,29.154857
129,Angola,AGO,10,1002,-11.202692,17.873887
130,Cameroon,CMR,10,1002,7.369722,12.354722
131,Central African Republic,CAF,10,1002,6.611111,20.939444
132,Chad,TCD,10,1002,15.454166,18.732207
133,Congo,COG,10,1002,-0.228021,15.827659
134,Democratic Republic of the Congo,COD,10,1002,-4.038333,21.758664
135,Equatorial Guinea,GNQ,10,1002,1.650801,10.267895
136,Gabon,GAB,10,1002,-0.803689,11.609444
137,Sao Tome and Principe,STP,10,1002,0.18636,6.613081
138,Botswana,BWA,10,1003,-22.328474,24.684866
139,Eswatini,SWZ,10,1003,-26.522503,31.465866
140,Lesotho,LSO,10,1003,-29.609988,28.233608
141,Namibia,NAM,10,1003,-22.95764,18.49041
142,South Africa,ZAF,10,1003,-30.559482,22.937506
143,Benin,BEN,10,1004,9.30769,2.315834
144,Burkina Faso,BFA,10,1004,12.238333,-1.561593
145,Cabo Verde,CPV,10,1004,16.5388,23.0418
146,Côte dIvoire,CIV,10,1004,7.539989,-5.54708
147,Gambia,GMB,10,1004,13.443182,-15.310139
148,Ghana,GHA,10,1004,7.946527,-1.023194
